date,avg_pmms30
Apr-71,7.31
May-71,7.425
Jun-71,7.53
Jul-71,7.604
Aug-71,7.6975
Sep-71,7.6875
Oct-71,7.628
Nov-71,7.55
Dec-71,7.48
Jan-72,7.4375
Feb-72,7.325
Mar-72,7.298
Apr-72,7.29
May-72,7.3725
Jun-72,7.372
Jul-72,7.395
Aug-72,7.4
Sep-72,7.42
Oct-72,7.42
Nov-72,7.4275
Dec-72,7.442
Jan-73,7.4375
Feb-73,7.44
Mar-73,7.458
Apr-73,7.5425
May-73,7.6525
Jun-73,7.734
Jul-73,8.05
Aug-73,8.496
Sep-73,8.815
Oct-73,8.77
Nov-73,8.582
Dec-73,8.5375
Jan-74,8.54
Feb-74,8.455
Mar-74,8.406
Apr-74,8.5825
May-74,8.972
Jun-74,9.085
Jul-74,9.28
Aug-74,9.586
Sep-74,9.9575
Oct-74,9.9775
Nov-74,9.788
Dec-74,9.615
Jan-75,9.432
Feb-75,9.105
Mar-75,8.9025
Apr-75,8.82
May-75,8.906
Jun-75,8.8925
Jul-75,8.89
Aug-75,8.942
Sep-75,9.13
Oct-75,9.224
Nov-75,9.145
Dec-75,9.0975
Jan-76,9.016
Feb-76,8.8125
Mar-76,8.755
Apr-76,8.73
May-76,8.765
Jun-76,8.8475
Jul-76,8.934
Aug-76,9
Sep-76,8.9775
Oct-76,8.93
Nov-76,8.8125
Dec-76,8.792
Jan-77,8.7225
Feb-77,8.67
Mar-77,8.6875
Apr-77,8.752
May-77,8.8275
Jun-77,8.8575
Jul-77,8.942
Aug-77,8.94
Sep-77,8.896
Oct-77,8.9225
Nov-77,8.9225
Dec-77,8.96
Jan-78,9.015
Feb-78,9.145
Mar-78,9.202
Apr-78,9.355
May-78,9.5725
Jun-78,9.708
Jul-78,9.74
Aug-78,9.785
Sep-78,9.756
Oct-78,9.8575
Nov-78,10.1075
Dec-78,10.346
Jan-79,10.39
Feb-79,10.4075
Mar-79,10.426
Apr-79,10.4975
May-79,10.69
